mV_1,uA_1,i1_bac1,i1_bac2,i1_bac3,i1_bac4,i1_bac5,mV_2,uA_2,i2_bac1,i2_bac2,i2_bac3,i2_bac4,i2_bac5,mV_3,uA_3,i3_bac1,i3_bac2,i3_bac3,i3_bac4,i3_bac5,mV_4,uA_4,i4_bac1,i4_bac2,i4_bac3,i4_bac4,i4_bac5,mV_5,uA_5,i5_bac1,i5_bac2,i5_bac3,i5_bac4,i5_bac5
100.0,106.59742,47.7273106082561,40.05255056185661,37.708749091613534,36.36880393593029,35.03450442870356,100.0,100.66969,45.83201240074231,38.37827555265322,35.96287695036227,34.55009115483195,33.11730367168205,100.0,98.25255,45.2548782557222,37.8293898546077,35.36758858390277,33.91482802182893,32.43535219999092,100.0,96.785,45.0244218032219,37.611569683751995,35.12492679670887,33.649068597683986,32.1445247627604,100.0,94.91459,44.95102985324781,37.54754860326871,35.04764169773643,33.55769567921368,32.038167435775804
110.0,64.93054,52.22828602971546,44.85521349653896,42.52966708407441,41.17255610702777,39.79046001502824,110.0,59.14668,51.41489296498774,44.236954838167364,41.84473138577751,40.41330618725639,38.93525263336162,110.0,56.72954,51.24715767770498,44.10165880971048,41.667602656580144,40.192794194220454,38.66578858667495,110.0,55.23321,51.2042844701687,44.07749673203104,41.622116880445574,40.1216835024657,38.56798826040359,110.0,53.33403,51.233473059067485,44.12130722478734,41.65489413706663,40.13879226030225,38.5688243394619
120.0,54.91669,55.391897292669135,48.22395100571269,45.92260148668258,44.556422564547894,43.157273995479194,120.0,48.87383,56.927876570640095,49.97325199418883,47.61320696730684,46.17021379378476,44.66620864686914,120.0,46.45669,57.27968571794597,50.36746947123708,47.973156304595875,46.48496938306811,44.929854334799515,120.0,44.98914,57.43362773481731,50.547279864805404,48.13661128850258,46.62160435892243,45.038986911794794,120.0,43.23384,57.56155070181811,50.695021258569724,48.276216703287794,46.74491264527382,45.14542591822877
130.0,49.16159,58.51726794720671,51.480061179447624,49.209486741956084,47.84174933542754,46.44958595770665,130.0,42.94608,62.369937161979244,55.58329155019945,53.266093109225054,51.82065544522502,50.312288580040295,130.0,40.58649,63.24133342289816,56.511755822379335,54.1705482422099,52.67993479354718,51.11890594906724,130.0,39.09017,63.58161966116668,56.8856831987188,54.53409142623134,53.01686082810297,51.42837278027941,130.0,37.42119,63.798654508305475,57.12741437931114,54.770935392944764,53.237723475516425,51.63242952879392
140.0,45.21935,62.22015688865075,55.259451234303455,53.02589322521954,51.66447228340284,50.2977181015936,140.0,38.88875,67.74702723009078,61.07404787625619,58.81185532200442,57.374964134287076,55.884981754568585,140.0,36.55793,69.01774839710153,62.41833614491619,60.144481015552984,58.66447008284326,57.12173350600121,140.0,35.0616,69.51439576906206,62.95617509350589,60.678323418795166,59.17327422253047,57.60403955714167,140.0,33.45018,69.80588570901055,63.27657676247883,60.9970834790219,59.47723596471557,57.891864431569154
150.0,42.28425,67.00958407078775,60.084503802243475,57.894738366439825,56.547918436335735,55.22197908282463,150.0,35.83854,73.01553056706362,66.40547403795819,64.2117036962893,62.79602436820697,61.347577050870804,150.0,33.50772,74.48877292399862,67.96728080811664,65.77528171091649,64.32064340965313,62.82156122896104,150.0,32.04019,75.09910043462467,68.62508318588714,66.43521400988388,64.95837404137366,63.43470479636156,150.0,30.51508,75.44701807981468,69.00508615342248,66.81646314346952,65.32673441973752,63.788126919243396
160.0,39.95344,73.39318642989706,66.47170045799281,64.33441113651457,63.01095720601112,61.73921949340901,160.0,33.45018,78.04242733057625,71.44964698662184,69.33862133566636,67.95826237951452,66.57439245255281,160.0,31.14815,79.52896496285237,73.03523064392202,70.93908323694176,69.5258634954746,68.09604669741051,160.0,29.65181,80.20840865573335,73.76612216402185,71.67727288727201,70.24573096825249,68.79414735071603,160.0,28.18426,80.59355002058808,74.18512536066457,72.09974152060379,70.65775480618758,69.19286471381591
170.0,156.92574,80.01123325203916,73.06341017811998,70.99021797681608,69.70181108348756,68.49977820928456,170.0,150.5376,82.60154655179325,75.98638698725074,73.97276912917134,72.64295421491845,71.3461559195477,170.0,148.20677,84.01354657825854,77.50105792911151,75.51336933316541,74.1583002921732,72.82267073397638,170.0,146.65291,84.7255323844277,78.26531150634901,76.28850877495235,74.9197422757536,73.5659399625318,170.0,145.07024,85.12963851529304,78.70338961289254,76.73137976757097,75.35492018816826,73.98976366977766
180.0,116.06456,84.19943520348697,77.19830164400975,75.20451907061519,73.96604715661861,72.85281085045577,180.0,109.21599,86.45472627407231,79.78410071208103,77.88202768308429,76.61857020348782,75.43021975555851,180.0,106.94274,87.8292943367243,81.25642938244874,79.3874594575661,78.10725830436519,76.88909856751032,180.0,105.47518,88.54940640442534,82.02599629745959,80.16948115343222,78.8806001154852,77.64841033572306,180.0,104.12274,88.95667482280676,82.46554938835436,80.61416334946053,79.32040864087121,78.07901637642226
190.0,100.87112,85.90421321663355,78.83847185103285,76.94269568330482,75.76901960550383,74.7614978466413,190.0,93.64846,89.46382374246312,82.71139296680867,80.93326456901254,79.75183507663922,78.69144412494224,190.0,91.40398,90.88607342198672,84.21700178167885,82.47368577687763,81.28426744819596,80.20428416033327,190.0,90.02275,91.59948465090116,84.97342220743816,83.24196492874205,82.0489080917765,80.95929797319498,190.0,88.81419,91.99724540113382,85.4000219922945,83.67308621043256,82.47781235570253,81.38123295522092
